Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
atc.lnn,450,696,251,450,0.5156,0.5125,0.3911,0.5578,0.5578
atn.lnn,450,696,250,450,0.5134,0.5254,0.3948,0.5556,0.5556
anc.lnn,450,696,186,450,0.3723,0.3476,0.2902,0.4133,0.4133
ann.lnn,450,696,208,450,0.3831,0.3788,0.3231,0.4622,0.4622
nnn.ltn,450,696,188,450,0.3483,0.3258,0.2955,0.4178,0.4178
nnc.ltn,450,696,260,450,0.5262,0.5309,0.4076,0.5778,0.5778
ntc.ltn,450,696,265,450,0.5502,0.5504,0.4161,0.5889,0.5889
ntn.ltn,450,696,251,450,0.4959,0.4971,0.3981,0.5578,0.5578
lnn.ltn,450,696,252,450,0.4906,0.4944,0.3992,0.5600,0.5600
ltn.ltn,450,696,265,450,0.5418,0.5528,0.4236,0.5889,0.5889
ltc.ltn,450,696,272,450,0.5631,0.5743,0.4315,0.6044,0.6044
lnc.ltn,450,696,268,450,0.5559,0.5604,0.4245,0.5956,0.5956
bnn.ltn,450,696,256,450,0.5032,0.5041,0.4063,0.5689,0.5689
btc.ltn,450,696,270,450,0.5614,0.5736,0.4319,0.6000,0.6000
btn.ltn,450,696,255,450,0.5392,0.5486,0.4097,0.5667,0.5667
bnc.ltn,450,696,275,450,0.5538,0.5679,0.4322,0.6111,0.6111
atc.ltn,450,696,258,450,0.5369,0.5419,0.4112,0.5733,0.5733
atn.ltn,450,696,250,450,0.5208,0.5331,0.3976,0.5556,0.5556
anc.ltn,450,696,267,450,0.5308,0.5458,0.4156,0.5933,0.5933
ann.ltn,450,696,250,450,0.5134,0.5254,0.3948,0.5556,0.5556
nnn.ltc,450,696,188,450,0.3483,0.3258,0.2955,0.4178,0.4178
nnc.ltc,450,696,260,450,0.5262,0.5309,0.4076,0.5778,0.5778
ntc.ltc,450,696,265,450,0.5502,0.5504,0.4161,0.5889,0.5889
ntn.ltc,450,696,251,450,0.4959,0.4971,0.3981,0.5578,0.5578
lnn.ltc,450,696,252,450,0.4906,0.4944,0.3992,0.5600,0.5600
ltn.ltc,450,696,265,450,0.5418,0.5528,0.4236,0.5889,0.5889
ltc.ltc,450,696,272,450,0.5631,0.5743,0.4315,0.6044,0.6044
lnc.ltc,450,696,268,450,0.5559,0.5604,0.4245,0.5956,0.5956
bnn.ltc,450,696,256,450,0.5032,0.5041,0.4063,0.5689,0.5689
btc.ltc,450,696,270,450,0.5614,0.5736,0.4319,0.6000,0.6000
btn.ltc,450,696,255,450,0.5392,0.5486,0.4097,0.5667,0.5667
bnc.ltc,450,696,275,450,0.5538,0.5679,0.4322,0.6111,0.6111
atc.ltc,450,696,258,450,0.5369,0.5419,0.4112,0.5733,0.5733
atn.ltc,450,696,250,450,0.5208,0.5331,0.3976,0.5556,0.5556
anc.ltc,450,696,267,450,0.5308,0.5458,0.4156,0.5933,0.5933
ann.ltc,450,696,250,450,0.5134,0.5254,0.3948,0.5556,0.5556
nnn.lnc,450,696,48,450,0.0886,0.0761,0.0674,0.1067,0.1067
nnc.lnc,450,696,160,450,0.2983,0.2592,0.2452,0.3556,0.3556
ntc.lnc,450,696,252,450,0.5086,0.5095,0.3953,0.5600,0.5600
ntn.lnc,450,696,188,450,0.3483,0.3258,0.2955,0.4178,0.4178
lnn.lnc,450,696,149,450,0.2647,0.2278,0.2250,0.3311,0.3311
ltn.lnc,450,696,252,450,0.4906,0.4944,0.3992,0.5600,0.5600
ltc.lnc,450,696,270,450,0.5457,0.5555,0.4278,0.6000,0.6000
lnc.lnc,450,696,210,450,0.4073,0.3782,0.3268,0.4667,0.4667
bnn.lnc,450,696,183,450,0.3390,0.3124,0.2832,0.4067,0.4067
btc.lnc,450,696,263,450,0.5407,0.5453,0.4151,0.5844,0.5844
btn.lnc,450,696,256,450,0.5032,0.5041,0.4063,0.5689,0.5689
bnc.lnc,450,696,205,450,0.3974,0.3750,0.3234,0.4556,0.4556
atc.lnc,450,696,251,450,0.5156,0.5125,0.3911,0.5578,0.5578
atn.lnc,450,696,250,450,0.5134,0.5254,0.3948,0.5556,0.5556
anc.lnc,450,696,186,450,0.3723,0.3476,0.2902,0.4133,0.4133
ann.lnc,450,696,208,450,0.3832,0.3789,0.3231,0.4622,0.4622
nnn.bnn,450,696,48,450,0.0889,0.0756,0.0679,0.1067,0.1067
nnc.bnn,450,696,166,450,0.3098,0.2710,0.2543,0.3689,0.3689
ntc.bnn,450,696,256,450,0.5129,0.5110,0.3993,0.5689,0.5689
ntn.bnn,450,696,194,450,0.3532,0.3363,0.3035,0.4311,0.4311
lnn.bnn,450,696,151,450,0.2633,0.2282,0.2294,0.3356,0.3356
ltn.bnn,450,696,251,450,0.4914,0.4921,0.3973,0.5578,0.5578
ltc.bnn,450,696,273,450,0.5467,0.5562,0.4322,0.6067,0.6067
lnc.bnn,450,696,214,450,0.4111,0.3833,0.3314,0.4756,0.4756
bnn.bnn,450,696,182,450,0.3377,0.3128,0.2806,0.4044,0.4044
btc.bnn,450,696,266,450,0.5421,0.5476,0.4180,0.5911,0.5911
btn.bnn,450,696,256,450,0.5016,0.5010,0.4065,0.5689,0.5689
bnc.bnn,450,696,206,450,0.4064,0.3829,0.3236,0.4578,0.4578
atc.bnn,450,696,258,450,0.5186,0.5150,0.3990,0.5733,0.5733
atn.bnn,450,696,247,450,0.5125,0.5189,0.3892,0.5489,0.5489
anc.bnn,450,696,191,450,0.3767,0.3502,0.2969,0.4244,0.4244
ann.bnn,450,696,208,450,0.3855,0.3796,0.3210,0.4622,0.4622
nnn.btc,450,696,194,450,0.3532,0.3363,0.3035,0.4311,0.4311
nnc.btc,450,696,264,450,0.5279,0.5319,0.4130,0.5867,0.5867
ntc.btc,450,696,268,450,0.5534,0.5536,0.4197,0.5956,0.5956
ntn.btc,450,696,252,450,0.4962,0.4971,0.3996,0.5600,0.5600
lnn.btc,450,696,251,450,0.4914,0.4921,0.3973,0.5578,0.5578
ltn.btc,450,696,264,450,0.5423,0.5531,0.4223,0.5867,0.5867
ltc.btc,450,696,273,450,0.5663,0.5786,0.4338,0.6067,0.6067
lnc.btc,450,696,267,450,0.5582,0.5652,0.4206,0.5933,0.5933
bnn.btc,450,696,256,450,0.5016,0.5010,0.4065,0.5689,0.5689
btc.btc,450,696,272,450,0.5647,0.5771,0.4368,0.6044,0.6044
btn.btc,450,696,255,450,0.5391,0.5490,0.4107,0.5667,0.5667
bnc.btc,450,696,276,450,0.5560,0.5695,0.4337,0.6133,0.6133
atc.btc,450,696,260,450,0.5383,0.5447,0.4149,0.5778,0.5778
atn.btc,450,696,249,450,0.5226,0.5338,0.3970,0.5533,0.5533
anc.btc,450,696,270,450,0.5328,0.5477,0.4214,0.6000,0.6000
ann.btc,450,696,247,450,0.5125,0.5189,0.3892,0.5489,0.5489
nnn.btn,450,696,194,450,0.3532,0.3363,0.3035,0.4311,0.4311
nnc.btn,450,696,264,450,0.5279,0.5319,0.4130,0.5867,0.5867
ntc.btn,450,696,268,450,0.5534,0.5536,0.4197,0.5956,0.5956
ntn.btn,450,696,252,450,0.4962,0.4971,0.3996,0.5600,0.5600
lnn.btn,450,696,251,450,0.4914,0.4921,0.3973,0.5578,0.5578
ltn.btn,450,696,264,450,0.5423,0.5531,0.4223,0.5867,0.5867
ltc.btn,450,696,273,450,0.5663,0.5786,0.4338,0.6067,0.6067
lnc.btn,450,696,267,450,0.5582,0.5652,0.4206,0.5933,0.5933
bnn.btn,450,696,256,450,0.5016,0.5010,0.4065,0.5689,0.5689
btc.btn,450,696,272,450,0.5647,0.5771,0.4368,0.6044,0.6044
btn.btn,450,696,255,450,0.5391,0.5490,0.4107,0.5667,0.5667
bnc.btn,450,696,276,450,0.5560,0.5695,0.4337,0.6133,0.6133
atc.btn,450,696,260,450,0.5383,0.5447,0.4149,0.5778,0.5778
atn.btn,450,696,249,450,0.5226,0.5338,0.3970,0.5533,0.5533
anc.btn,450,696,270,450,0.5328,0.5477,0.4214,0.6000,0.6000
ann.btn,450,696,247,450,0.5125,0.5189,0.3892,0.5489,0.5489
nnn.bnc,450,696,49,450,0.0894,0.0767,0.0695,0.1089,0.1089
nnc.bnc,450,696,166,450,0.3098,0.2710,0.2543,0.3689,0.3689
ntc.bnc,450,696,256,450,0.5129,0.5110,0.3993,0.5689,0.5689
ntn.bnc,450,696,194,450,0.3532,0.3363,0.3035,0.4311,0.4311
lnn.bnc,450,696,151,450,0.2633,0.2282,0.2294,0.3356,0.3356
ltn.bnc,450,696,251,450,0.4914,0.4921,0.3973,0.5578,0.5578
ltc.bnc,450,696,273,450,0.5467,0.5562,0.4322,0.6067,0.6067
lnc.bnc,450,696,214,450,0.4111,0.3833,0.3314,0.4756,0.4756
bnn.bnc,450,696,182,450,0.3376,0.3128,0.2806,0.4044,0.4044
btc.bnc,450,696,266,450,0.5421,0.5476,0.4180,0.5911,0.5911
btn.bnc,450,696,256,450,0.5016,0.5010,0.4065,0.5689,0.5689
bnc.bnc,450,696,206,450,0.4064,0.3829,0.3236,0.4578,0.4578
atc.bnc,450,696,258,450,0.5186,0.5150,0.3990,0.5733,0.5733
atn.bnc,450,696,247,450,0.5125,0.5189,0.3892,0.5489,0.5489
anc.bnc,450,696,191,450,0.3767,0.3502,0.2969,0.4244,0.4244
ann.bnc,450,696,208,450,0.3856,0.3796,0.3210,0.4622,0.4622
nnn.atc,450,696,197,450,0.3559,0.3406,0.3090,0.4378,0.4378
nnc.atc,450,696,265,450,0.5293,0.5333,0.4133,0.5889,0.5889
ntc.atc,450,696,269,450,0.5545,0.5582,0.4212,0.5978,0.5978
ntn.atc,450,696,251,450,0.4961,0.5000,0.3982,0.5578,0.5578
lnn.atc,450,696,249,450,0.4915,0.4879,0.3912,0.5533,0.5533
ltn.atc,450,696,263,450,0.5404,0.5503,0.4218,0.5844,0.5844
ltc.atc,450,696,277,450,0.5676,0.5806,0.4428,0.6156,0.6156
lnc.atc,450,696,270,450,0.5593,0.5674,0.4253,0.6000,0.6000
bnn.atc,450,696,255,450,0.4993,0.4967,0.4038,0.5667,0.5667
