Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
atc.lnn,780,796,198,766,0.2475,0.2332,0.2796,0.2538,0.2718
atn.lnn,780,796,203,761,0.2952,0.2831,0.3226,0.2603,0.2801
anc.lnn,780,796,106,769,0.1179,0.1082,0.1379,0.1359,0.1394
ann.lnn,780,796,150,766,0.2000,0.1845,0.2338,0.1923,0.2103
nnn.ltn,780,796,144,766,0.2039,0.1885,0.2674,0.1846,0.2026
nnc.ltn,780,796,213,746,0.2832,0.2668,0.3239,0.2731,0.3027
ntc.ltn,780,796,239,726,0.3527,0.3410,0.4040,0.3064,0.3623
ntn.ltn,780,796,191,731,0.3134,0.3003,0.3651,0.2449,0.2904
lnn.ltn,780,796,188,751,0.2765,0.2586,0.3370,0.2410,0.2630
ltn.ltn,780,796,214,722,0.3548,0.3387,0.3924,0.2744,0.3329
ltc.ltn,780,796,238,733,0.3571,0.3467,0.3781,0.3051,0.3488
lnc.ltn,780,796,227,742,0.2958,0.2851,0.3813,0.2910,0.3152
bnn.ltn,780,796,190,756,0.2775,0.2590,0.3558,0.2436,0.2652
btc.ltn,780,796,227,740,0.3363,0.3229,0.3546,0.2910,0.3327
btn.ltn,780,796,212,722,0.3384,0.3264,0.3952,0.2718,0.3190
bnc.ltn,780,796,210,753,0.2780,0.2617,0.3380,0.2692,0.2901
atc.ltn,780,796,212,741,0.3068,0.2872,0.3307,0.2718,0.3183
atn.ltn,780,796,207,723,0.3439,0.3342,0.3580,0.2654,0.3156
anc.ltn,780,796,192,766,0.2395,0.2242,0.2721,0.2462,0.2641
ann.ltn,780,796,203,761,0.2952,0.2831,0.3226,0.2603,0.2801
nnn.ltc,780,796,144,766,0.2039,0.1885,0.2674,0.1846,0.2026
nnc.ltc,780,796,213,746,0.2832,0.2668,0.3239,0.2731,0.3027
ntc.ltc,780,796,239,726,0.3527,0.3410,0.4040,0.3064,0.3623
ntn.ltc,780,796,191,731,0.3134,0.3003,0.3651,0.2449,0.2904
lnn.ltc,780,796,188,751,0.2765,0.2586,0.3370,0.2410,0.2630
ltn.ltc,780,796,214,722,0.3548,0.3387,0.3924,0.2744,0.3329
ltc.ltc,780,796,238,733,0.3571,0.3467,0.3781,0.3051,0.3488
lnc.ltc,780,796,227,742,0.2958,0.2851,0.3813,0.2910,0.3152
bnn.ltc,780,796,190,756,0.2775,0.2590,0.3558,0.2436,0.2652
btc.ltc,780,796,227,740,0.3363,0.3229,0.3546,0.2910,0.3327
btn.ltc,780,796,212,722,0.3384,0.3264,0.3952,0.2718,0.3190
bnc.ltc,780,796,210,753,0.2780,0.2617,0.3380,0.2692,0.2901
atc.ltc,780,796,212,741,0.3068,0.2872,0.3307,0.2718,0.3183
atn.ltc,780,796,207,723,0.3439,0.3342,0.3580,0.2654,0.3156
anc.ltc,780,796,192,766,0.2395,0.2242,0.2721,0.2462,0.2641
ann.ltc,780,796,203,761,0.2952,0.2831,0.3226,0.2603,0.2801
nnn.lnc,780,796,50,766,0.0839,0.0770,0.0827,0.0641,0.0821
nnc.lnc,780,796,114,755,0.1506,0.1266,0.1774,0.1462,0.1676
ntc.lnc,780,796,202,745,0.2697,0.2523,0.3215,0.2590,0.2891
ntn.lnc,780,796,144,766,0.2039,0.1885,0.2674,0.1846,0.2026
lnn.lnc,780,796,117,766,0.1563,0.1364,0.1969,0.1500,0.1679
ltn.lnc,780,796,188,751,0.2765,0.2586,0.3370,0.2410,0.2630
ltc.lnc,780,796,228,745,0.2983,0.2782,0.3750,0.2923,0.3156
lnc.lnc,780,796,133,755,0.1661,0.1488,0.2126,0.1705,0.1920
bnn.lnc,780,796,136,766,0.1837,0.1555,0.2249,0.1744,0.1923
btc.lnc,780,796,210,755,0.2855,0.2659,0.3202,0.2692,0.2907
btn.lnc,780,796,190,756,0.2775,0.2590,0.3558,0.2436,0.2652
bnc.lnc,780,796,123,761,0.1538,0.1389,0.1944,0.1577,0.1763
atc.lnc,780,796,198,766,0.2475,0.2332,0.2796,0.2538,0.2718
atn.lnc,780,796,203,761,0.2952,0.2831,0.3226,0.2603,0.2801
anc.lnc,780,796,106,769,0.1179,0.1082,0.1379,0.1359,0.1394
ann.lnc,780,796,150,766,0.1999,0.1846,0.2338,0.1923,0.2103
nnn.bnn,780,796,50,766,0.0844,0.0768,0.0821,0.0641,0.0821
nnc.bnn,780,796,116,755,0.1568,0.1312,0.1787,0.1487,0.1702
ntc.bnn,780,796,202,752,0.2695,0.2531,0.3209,0.2590,0.2803
ntn.bnn,780,796,143,766,0.2034,0.1898,0.2652,0.1833,0.2013
lnn.bnn,780,796,115,766,0.1545,0.1355,0.1887,0.1474,0.1654
ltn.bnn,780,796,188,760,0.2709,0.2541,0.3376,0.2410,0.2598
ltc.bnn,780,796,227,759,0.2963,0.2770,0.3707,0.2910,0.3101
lnc.bnn,780,796,134,755,0.1686,0.1513,0.2131,0.1718,0.1933
bnn.bnn,780,796,135,766,0.1808,0.1534,0.2202,0.1731,0.1910
btc.bnn,780,796,211,762,0.2855,0.2656,0.3242,0.2705,0.2889
btn.bnn,780,796,189,758,0.2758,0.2581,0.3372,0.2423,0.2637
bnc.bnn,780,796,124,763,0.1537,0.1413,0.1978,0.1590,0.1772
atc.bnn,780,796,199,766,0.2471,0.2304,0.2798,0.2551,0.2731
atn.bnn,780,796,205,762,0.2921,0.2814,0.3245,0.2628,0.2822
anc.bnn,780,796,108,767,0.1241,0.1152,0.1410,0.1385,0.1468
ann.bnn,780,796,149,766,0.1951,0.1819,0.2317,0.1910,0.2090
nnn.btc,780,796,143,766,0.2034,0.1898,0.2652,0.1833,0.2013
nnc.btc,780,796,211,750,0.2826,0.2681,0.3219,0.2705,0.2992
ntc.btc,780,796,240,727,0.3548,0.3426,0.4053,0.3077,0.3637
ntn.btc,780,796,194,730,0.3130,0.3005,0.3724,0.2487,0.2945
lnn.btc,780,796,188,760,0.2709,0.2541,0.3376,0.2410,0.2598
ltn.btc,780,796,211,724,0.3538,0.3380,0.3895,0.2705,0.3279
ltc.btc,780,796,239,739,0.3579,0.3461,0.3776,0.3064,0.3468
lnc.btc,780,796,226,756,0.2924,0.2810,0.3695,0.2897,0.3090
bnn.btc,780,796,189,758,0.2758,0.2581,0.3372,0.2423,0.2637
btc.btc,780,796,225,742,0.3386,0.3256,0.3524,0.2885,0.3293
btn.btc,780,796,211,725,0.3384,0.3275,0.3962,0.2705,0.3172
bnc.btc,780,796,209,760,0.2704,0.2538,0.3361,0.2679,0.2868
atc.btc,780,796,209,738,0.3090,0.2876,0.3327,0.2679,0.3154
atn.btc,780,796,208,731,0.3432,0.3327,0.3508,0.2667,0.3141
anc.btc,780,796,193,766,0.2403,0.2273,0.2752,0.2474,0.2654
ann.btc,780,796,205,762,0.2921,0.2814,0.3245,0.2628,0.2822
nnn.btn,780,796,143,766,0.2034,0.1898,0.2652,0.1833,0.2013
nnc.btn,780,796,211,750,0.2826,0.2681,0.3219,0.2705,0.2992
ntc.btn,780,796,240,727,0.3548,0.3426,0.4053,0.3077,0.3637
ntn.btn,780,796,194,730,0.3130,0.3005,0.3724,0.2487,0.2945
lnn.btn,780,796,188,760,0.2709,0.2541,0.3376,0.2410,0.2598
ltn.btn,780,796,211,724,0.3538,0.3380,0.3895,0.2705,0.3279
ltc.btn,780,796,239,739,0.3579,0.3461,0.3776,0.3064,0.3468
lnc.btn,780,796,226,756,0.2924,0.2810,0.3695,0.2897,0.3090
bnn.btn,780,796,189,758,0.2758,0.2581,0.3372,0.2423,0.2637
btc.btn,780,796,225,742,0.3386,0.3256,0.3524,0.2885,0.3293
btn.btn,780,796,211,725,0.3384,0.3275,0.3962,0.2705,0.3172
bnc.btn,780,796,209,760,0.2704,0.2538,0.3361,0.2679,0.2868
atc.btn,780,796,209,738,0.3090,0.2876,0.3327,0.2679,0.3154
atn.btn,780,796,208,731,0.3432,0.3327,0.3508,0.2667,0.3141
anc.btn,780,796,193,766,0.2403,0.2273,0.2752,0.2474,0.2654
ann.btn,780,796,205,762,0.2921,0.2814,0.3245,0.2628,0.2822
nnn.bnc,780,796,50,766,0.0839,0.0770,0.0821,0.0641,0.0821
nnc.bnc,780,796,116,755,0.1568,0.1312,0.1787,0.1487,0.1702
ntc.bnc,780,796,202,752,0.2695,0.2531,0.3209,0.2590,0.2803
ntn.bnc,780,796,143,766,0.2034,0.1898,0.2652,0.1833,0.2013
lnn.bnc,780,796,115,766,0.1546,0.1356,0.1887,0.1474,0.1654
ltn.bnc,780,796,188,760,0.2709,0.2541,0.3376,0.2410,0.2598
ltc.bnc,780,796,227,759,0.2963,0.2770,0.3707,0.2910,0.3101
lnc.bnc,780,796,134,755,0.1686,0.1513,0.2131,0.1718,0.1933
bnn.bnc,780,796,135,766,0.1807,0.1535,0.2202,0.1731,0.1910
btc.bnc,780,796,211,762,0.2855,0.2656,0.3242,0.2705,0.2889
btn.bnc,780,796,189,758,0.2758,0.2581,0.3372,0.2423,0.2637
bnc.bnc,780,796,124,763,0.1537,0.1413,0.1978,0.1590,0.1772
atc.bnc,780,796,199,766,0.2471,0.2304,0.2798,0.2551,0.2731
atn.bnc,780,796,205,762,0.2921,0.2814,0.3245,0.2628,0.2822
anc.bnc,780,796,108,767,0.1241,0.1152,0.1410,0.1385,0.1468
ann.bnc,780,796,149,766,0.1951,0.1819,0.2317,0.1910,0.2090
nnn.atc,780,796,141,766,0.2065,0.1898,0.2628,0.1808,0.1987
nnc.atc,780,796,209,753,0.2856,0.2705,0.3181,0.2679,0.2962
ntc.atc,780,796,237,734,0.3515,0.3420,0.4036,0.3038,0.3526
ntn.atc,780,796,190,736,0.3018,0.2876,0.3683,0.2436,0.2761
lnn.atc,780,796,184,766,0.2725,0.2547,0.3082,0.2359,0.2538
ltn.atc,780,796,209,729,0.3440,0.3295,0.3887,0.2679,0.3179
ltc.atc,780,796,239,742,0.3613,0.3513,0.3850,0.3064,0.3459
lnc.atc,780,796,220,765,0.2887,0.2757,0.3316,0.2821,0.3001
bnn.atc,780,796,187,759,0.2738,0.2560,0.3164,0.2397,0.2611
btc.atc,780,796,225,738,0.3447,0.3292,0.3595,0.2885,0.3313
btn.atc,780,796,209,732,0.3330,0.3206,0.3768,0.2679,0.3138
bnc.atc,780,796,210,766,0.2687,0.2520,0.3010,0.2692,0.2872
atc.atc,780,796,207,735,0.3128,0.2910,0.3310,0.2654,0.3144
atn.atc,780,796,206,738,0.3420,0.3318,0.3510,0.2641,0.3074
anc.atc,780,796,191,766,0.2412,0.2244,0.2737,0.2449,0.2628
ann.atc,780,796,200,762,0.2883,0.2764,0.3213,0.2564,0.2758
nnn.atn,780,796,141,766,0.2065,0.1898,0.2628,0.1808,0.1987
nnc.atn,780,796,209,753,0.2856,0.2705,0.3181,0.2679,0.2962
ntc.atn,780,796,237,734,0.3515,0.3420,0.4036,0.3038,0.3526
ntn.atn,780,796,190,736,0.3018,0.2876,0.3683,0.2436,0.2761
lnn.atn,780,796,184,766,0.2725,0.2547,0.3082,0.2359,0.2538
ltn.atn,780,796,209,729,0.3440,0.3295,0.3887,0.2679,0.3179
ltc.atn,780,796,239,742,0.3613,0.3513,0.3850,0.3064,0.3459
lnc.atn,780,796,220,765,0.2887,0.2757,0.3316,0.2821,0.3001
bnn.atn,780,796,187,759,0.2738,0.2560,0.3164,0.2397,0.2611
btc.atn,780,796,225,738,0.3447,0.3292,0.3595,0.2885,0.3313
btn.atn,780,796,209,732,0.3330,0.3206,0.3768,0.2679,0.3138
bnc.atn,780,796,210,766,0.2687,0.2520,0.3010,0.2692,0.2872
atc.atn,780,796,207,735,0.3128,0.2910,0.3310,0.2654,0.3144
atn.atn,780,796,206,738,0.3420,0.3318,0.3510,0.2641,0.3074
anc.atn,780,796,191,766,0.2412,0.2244,0.2737,0.2449,0.2628
ann.atn,780,796,200,762,0.2883,0.2764,0.3213,0.2564,0.2758
nnn.anc,780,796,51,766,0.0806,0.0738,0.0840,0.0654,0.0833
nnc.anc,780,796,115,762,0.1603,0.1367,0.1768,0.1474,0.1659
ntc.anc,780,796,201,759,0.2703,0.2541,0.3171,0.2577,0.2771
ntn.anc,780,796,141,766,0.2065,0.1898,0.2628,0.1808,0.1987
lnn.anc,780,796,114,766,0.1526,0.1336,0.1919,0.1462,0.1641
ltn.anc,780,796,184,766,0.2725,0.2547,0.3082,0.2359,0.2538
ltc.anc,780,796,223,766,0.2976,0.2771,0.3288,0.2859,0.3038
lnc.anc,780,796,137,762,0.1654,0.1481,0.2167,0.1756,0.1941
bnn.anc,780,796,135,766,0.1822,0.1561,0.2198,0.1731,0.1910
btc.anc,780,796,215,766,0.2835,0.2642,0.3097,0.2756,0.2936
btn.anc,780,796,187,759,0.2738,0.2560,0.3164,0.2397,0.2611
bnc.anc,780,796,128,766,0.1558,0.1433,0.1873,0.1641,0.1821
atc.anc,780,796,198,766,0.2437,0.2310,0.2774,0.2538,0.2718
atn.anc,780,796,200,762,0.2884,0.2764,0.3213,0.2564,0.2758
anc.anc,780,796,110,766,0.1356,0.1254,0.1399,0.1410,0.1590
ann.anc,780,796,148,766,0.1950,0.1803,0.2200,0.1897,0.2077
nnn.ann,780,796,51,766,0.0814,0.0740,0.0840,0.0654,0.0833
nnc.ann,780,796,115,762,0.1603,0.1367,0.1768,0.1474,0.1659
ntc.ann,780,796,201,759,0.2703,0.2541,0.3171,0.2577,0.2771
ntn.ann,780,796,141,766,0.2065,0.1898,0.2628,0.1808,0.1987
lnn.ann,780,796,114,766,0.1526,0.1336,0.1919,0.1462,0.1641
ltn.ann,780,796,184,766,0.2725,0.2547,0.3082,0.2359,0.2538
ltc.ann,780,796,223,766,0.2976,0.2771,0.3288,0.2859,0.3038
lnc.ann,780,796,137,762,0.1654,0.1481,0.2167,0.1756,0.1941
bnn.ann,780,796,135,766,0.1827,0.1567,0.2198,0.1731,0.1910
btc.ann,780,796,215,766,0.2835,0.2642,0.3097,0.2756,0.2936
btn.ann,780,796,187,759,0.2738,0.2560,0.3164,0.2397,0.2611
bnc.ann,780,796,128,766,0.1558,0.1433,0.1873,0.1641,0.1821
atc.ann,780,796,198,766,0.2437,0.2310,0.2774,0.2538,0.2718
atn.ann,780,796,200,762,0.2883,0.2764,0.3213,0.2564,0.2758
anc.ann,780,796,110,766,0.1356,0.1254,0.1399,0.1410,0.1590
ann.ann,780,796,148,766,0.1951,0.1803,0.2200,0.1897,0.2077
