Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
atc.lnn,780,796,172,736,0.2644,0.2465,0.3060,0.2205,0.2667
atn.lnn,780,796,196,723,0.3666,0.3433,0.3942,0.2513,0.3074
anc.lnn,780,796,136,766,0.1956,0.1822,0.2240,0.1744,0.1923
ann.lnn,780,796,173,746,0.3047,0.2841,0.3382,0.2218,0.2586
nnn.ltn,780,796,160,735,0.2727,0.2555,0.3354,0.2051,0.2362
nnc.ltn,780,796,200,740,0.3039,0.2894,0.3588,0.2564,0.2892
ntc.ltn,780,796,205,722,0.3474,0.3303,0.3980,0.2628,0.3150
ntn.ltn,780,796,187,720,0.3388,0.3201,0.3790,0.2397,0.3013
lnn.ltn,780,796,191,724,0.3631,0.3439,0.3823,0.2449,0.3054
ltn.ltn,780,796,195,717,0.3804,0.3641,0.3911,0.2500,0.3112
ltc.ltn,780,796,202,723,0.3426,0.3288,0.3875,0.2590,0.3196
lnc.ltn,780,796,194,725,0.3090,0.2885,0.3646,0.2487,0.2983
bnn.ltn,780,796,190,723,0.3600,0.3413,0.3775,0.2436,0.3010
btc.ltn,780,796,186,731,0.3258,0.3168,0.3449,0.2385,0.2955
btn.ltn,780,796,193,723,0.3735,0.3548,0.3754,0.2474,0.3060
bnc.ltn,780,796,183,728,0.2932,0.2754,0.3520,0.2346,0.2827
atc.ltn,780,796,183,732,0.3125,0.3021,0.3315,0.2346,0.2903
atn.ltn,780,796,204,715,0.3772,0.3588,0.3975,0.2615,0.3295
anc.ltn,780,796,177,731,0.2821,0.2602,0.3341,0.2269,0.2783
ann.ltn,780,796,196,723,0.3666,0.3433,0.3942,0.2513,0.3074
nnn.ltc,780,796,160,735,0.2727,0.2555,0.3354,0.2051,0.2362
nnc.ltc,780,796,200,740,0.3039,0.2894,0.3588,0.2564,0.2892
ntc.ltc,780,796,205,722,0.3474,0.3303,0.3980,0.2628,0.3150
ntn.ltc,780,796,187,720,0.3388,0.3201,0.3790,0.2397,0.3013
lnn.ltc,780,796,191,724,0.3631,0.3439,0.3823,0.2449,0.3054
ltn.ltc,780,796,195,717,0.3804,0.3641,0.3911,0.2500,0.3112
