Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
lnc.lnn,2790,2084,349,2741,0.1389,0.1199,0.1942,0.1251,0.1326
bnn.lnn,2790,2084,426,2761,0.1686,0.1445,0.2298,0.1527,0.1631
btc.lnn,2790,2084,490,2758,0.2105,0.1963,0.2869,0.1756,0.1791
btn.lnn,2790,2084,611,2762,0.2639,0.2454,0.3456,0.2190,0.2240
bnc.lnn,2790,2084,349,2741,0.1367,0.1167,0.1932,0.1251,0.1326
atc.lnn,2790,2084,461,2759,0.1910,0.1734,0.2691,0.1652,0.1686
atn.lnn,2790,2084,654,2751,0.2936,0.2787,0.3710,0.2344,0.2401
anc.lnn,2790,2084,335,2743,0.1244,0.1051,0.1873,0.1201,0.1254
ann.lnn,2790,2084,506,2736,0.2171,0.1911,0.2812,0.1814,0.1877
nnn.ltn,2790,2084,358,2750,0.1454,0.1261,0.2196,0.1283,0.1393
nnc.ltn,2790,2084,490,2748,0.2198,0.1986,0.2874,0.1756,0.1816
ntc.ltn,2790,2084,516,2761,0.2328,0.2172,0.3072,0.1849,0.1953
ntn.ltn,2790,2084,486,2732,0.2056,0.1882,0.3070,0.1742,0.1860
lnn.ltn,2790,2084,551,2756,0.2387,0.2145,0.3220,0.1975,0.2029
ltn.ltn,2790,2084,582,2735,0.2598,0.2368,0.3528,0.2086,0.2206
ltc.ltn,2790,2084,514,2762,0.2187,0.2046,0.3041,0.1842,0.1892
lnc.ltn,2790,2084,545,2746,0.2381,0.2238,0.3155,0.1953,0.2016
bnn.ltn,2790,2084,611,2762,0.2639,0.2454,0.3456,0.2190,0.2240
btc.ltn,2790,2084,504,2762,0.2115,0.1991,0.3024,0.1806,0.1857
btn.ltn,2790,2084,607,2746,0.2640,0.2436,0.3614,0.2176,0.2238
bnc.ltn,2790,2084,549,2747,0.2400,0.2249,0.3145,0.1968,0.2029
atc.ltn,2790,2084,477,2763,0.1955,0.1815,0.2897,0.1710,0.1742
atn.ltn,2790,2084,596,2760,0.2748,0.2634,0.3492,0.2136,0.2188
anc.ltn,2790,2084,537,2748,0.2217,0.2058,0.3136,0.1925,0.1968
ann.ltn,2790,2084,654,2751,0.2936,0.2787,0.3710,0.2344,0.2401
nnn.ltc,2790,2084,358,2750,0.1454,0.1261,0.2196,0.1283,0.1393
nnc.ltc,2790,2084,490,2748,0.2198,0.1986,0.2874,0.1756,0.1816
ntc.ltc,2790,2084,516,2761,0.2328,0.2172,0.3072,0.1849,0.1953
ntn.ltc,2790,2084,486,2732,0.2056,0.1882,0.3070,0.1742,0.1860
lnn.ltc,2790,2084,551,2756,0.2387,0.2145,0.3220,0.1975,0.2029
ltn.ltc,2790,2084,582,2735,0.2598,0.2368,0.3528,0.2086,0.2206
ltc.ltc,2790,2084,514,2762,0.2187,0.2046,0.3041,0.1842,0.1892
lnc.ltc,2790,2084,545,2746,0.2381,0.2238,0.3155,0.1953,0.2016
bnn.ltc,2790,2084,611,2762,0.2639,0.2454,0.3456,0.2190,0.2240
btc.ltc,2790,2084,504,2762,0.2115,0.1991,0.3024,0.1806,0.1857
btn.ltc,2790,2084,607,2746,0.2640,0.2436,0.3614,0.2176,0.2238
bnc.ltc,2790,2084,549,2747,0.2400,0.2249,0.3145,0.1968,0.2029
atc.ltc,2790,2084,477,2763,0.1955,0.1815,0.2897,0.1710,0.1742
atn.ltc,2790,2084,596,2760,0.2748,0.2634,0.3492,0.2136,0.2188
anc.ltc,2790,2084,537,2748,0.2217,0.2058,0.3136,0.1925,0.1968
ann.ltc,2790,2084,654,2751,0.2936,0.2787,0.3710,0.2344,0.2401
nnn.lnc,2790,2084,125,2790,0.0388,0.0316,0.0517,0.0448,0.0448
nnc.lnc,2790,2084,346,2743,0.1321,0.1076,0.1909,0.1240,0.1360
ntc.lnc,2790,2084,494,2762,0.2140,0.1933,0.2855,0.1771,0.1821
ntn.lnc,2790,2084,358,2750,0.1454,0.1261,0.2196,0.1283,0.1393
lnn.lnc,2790,2084,327,2761,0.1210,0.1010,0.1728,0.1172,0.1276
ltn.lnc,2790,2084,551,2756,0.2387,0.2145,0.3220,0.1975,0.2029
ltc.lnc,2790,2084,506,2759,0.2139,0.1993,0.2903,0.1814,0.1848
lnc.lnc,2790,2084,349,2741,0.1389,0.1199,0.1942,0.1251,0.1326
bnn.lnc,2790,2084,426,2761,0.1686,0.1444,0.2298,0.1527,0.1631
btc.lnc,2790,2084,490,2758,0.2105,0.1963,0.2869,0.1756,0.1791
btn.lnc,2790,2084,611,2762,0.2639,0.2454,0.3456,0.2190,0.2240
bnc.lnc,2790,2084,349,2741,0.1367,0.1167,0.1932,0.1251,0.1326
atc.lnc,2790,2084,461,2759,0.1910,0.1734,0.2691,0.1652,0.1686
atn.lnc,2790,2084,654,2751,0.2936,0.2787,0.3710,0.2344,0.2401
anc.lnc,2790,2084,335,2743,0.1244,0.1051,0.1873,0.1201,0.1254
ann.lnc,2790,2084,505,2736,0.2164,0.1908,0.2810,0.1810,0.1874
nnn.bnn,2790,2084,125,2790,0.0388,0.0317,0.0523,0.0448,0.0448
nnc.bnn,2790,2084,352,2743,0.1352,0.1101,0.1941,0.1262,0.1382
ntc.bnn,2790,2084,499,2762,0.2170,0.1965,0.2896,0.1789,0.1839
ntn.bnn,2790,2084,356,2750,0.1499,0.1299,0.2189,0.1276,0.1386
lnn.bnn,2790,2084,330,2761,0.1227,0.1023,0.1733,0.1183,0.1287
ltn.bnn,2790,2084,553,2756,0.2397,0.2164,0.3228,0.1982,0.2036
ltc.bnn,2790,2084,506,2759,0.2158,0.2008,0.2912,0.1814,0.1848
lnc.bnn,2790,2084,361,2741,0.1438,0.1232,0.1985,0.1294,0.1369
bnn.bnn,2790,2084,428,2761,0.1706,0.1462,0.2296,0.1534,0.1638
btc.bnn,2790,2084,490,2758,0.2116,0.1983,0.2871,0.1756,0.1791
btn.bnn,2790,2084,612,2762,0.2652,0.2476,0.3458,0.2194,0.2244
bnc.bnn,2790,2084,360,2741,0.1413,0.1197,0.1979,0.1290,0.1366
atc.bnn,2790,2084,468,2759,0.1921,0.1745,0.2734,0.1677,0.1711
atn.bnn,2790,2084,655,2751,0.2951,0.2789,0.3698,0.2348,0.2405
anc.bnn,2790,2084,342,2743,0.1271,0.1076,0.1916,0.1226,0.1280
ann.bnn,2790,2084,509,2736,0.2184,0.1920,0.2819,0.1824,0.1888
nnn.btc,2790,2084,356,2750,0.1499,0.1299,0.2189,0.1276,0.1386
nnc.btc,2790,2084,487,2748,0.2177,0.1981,0.2850,0.1746,0.1805
ntc.btc,2790,2084,515,2761,0.2329,0.2175,0.3060,0.1846,0.1950
ntn.btc,2790,2084,486,2732,0.2055,0.1882,0.3070,0.1742,0.1860
lnn.btc,2790,2084,553,2756,0.2397,0.2164,0.3228,0.1982,0.2036
ltn.btc,2790,2084,582,2735,0.2598,0.2367,0.3516,0.2086,0.2206
ltc.btc,2790,2084,513,2762,0.2187,0.2049,0.3038,0.1839,0.1889
lnc.btc,2790,2084,546,2746,0.2390,0.2242,0.3163,0.1957,0.2019
bnn.btc,2790,2084,612,2762,0.2652,0.2476,0.3458,0.2194,0.2244
btc.btc,2790,2084,504,2762,0.2117,0.1996,0.3024,0.1806,0.1857
btn.btc,2790,2084,607,2746,0.2640,0.2434,0.3614,0.2176,0.2238
bnc.btc,2790,2084,551,2747,0.2400,0.2255,0.3171,0.1975,0.2036
atc.btc,2790,2084,478,2763,0.1959,0.1816,0.2912,0.1713,0.1746
atn.btc,2790,2084,597,2760,0.2753,0.2640,0.3508,0.2140,0.2191
anc.btc,2790,2084,536,2748,0.2219,0.2065,0.3147,0.1921,0.1964
ann.btc,2790,2084,655,2751,0.2951,0.2789,0.3698,0.2348,0.2405
nnn.btn,2790,2084,356,2750,0.1499,0.1299,0.2189,0.1276,0.1386
nnc.btn,2790,2084,487,2748,0.2177,0.1981,0.2850,0.1746,0.1805
ntc.btn,2790,2084,515,2761,0.2329,0.2175,0.3060,0.1846,0.1950
ntn.btn,2790,2084,486,2732,0.2055,0.1882,0.3070,0.1742,0.1860
lnn.btn,2790,2084,553,2756,0.2397,0.2164,0.3228,0.1982,0.2036
ltn.btn,2790,2084,582,2735,0.2598,0.2367,0.3516,0.2086,0.2206
ltc.btn,2790,2084,513,2762,0.2187,0.2049,0.3038,0.1839,0.1889
lnc.btn,2790,2084,546,2746,0.2390,0.2242,0.3163,0.1957,0.2019
bnn.btn,2790,2084,612,2762,0.2652,0.2476,0.3458,0.2194,0.2244
btc.btn,2790,2084,504,2762,0.2117,0.1996,0.3024,0.1806,0.1857
btn.btn,2790,2084,607,2746,0.2640,0.2434,0.3614,0.2176,0.2238
bnc.btn,2790,2084,551,2747,0.2400,0.2255,0.3171,0.1975,0.2036
atc.btn,2790,2084,478,2763,0.1959,0.1816,0.2912,0.1713,0.1746
atn.btn,2790,2084,597,2760,0.2753,0.2640,0.3508,0.2140,0.2191
anc.btn,2790,2084,536,2748,0.2219,0.2065,0.3147,0.1921,0.1964
ann.btn,2790,2084,655,2751,0.2951,0.2789,0.3698,0.2348,0.2405
nnn.bnc,2790,2084,125,2790,0.0389,0.0319,0.0517,0.0448,0.0448
nnc.bnc,2790,2084,352,2743,0.1353,0.1102,0.1941,0.1262,0.1382
ntc.bnc,2790,2084,499,2762,0.2170,0.1965,0.2896,0.1789,0.1839
ntn.bnc,2790,2084,356,2750,0.1499,0.1299,0.2189,0.1276,0.1386
lnn.bnc,2790,2084,330,2761,0.1225,0.1023,0.1733,0.1183,0.1287
ltn.bnc,2790,2084,553,2756,0.2397,0.2164,0.3228,0.1982,0.2036
ltc.bnc,2790,2084,506,2759,0.2158,0.2008,0.2912,0.1814,0.1848
lnc.bnc,2790,2084,361,2741,0.1438,0.1232,0.1985,0.1294,0.1369
bnn.bnc,2790,2084,428,2761,0.1705,0.1462,0.2296,0.1534,0.1638
btc.bnc,2790,2084,490,2758,0.2116,0.1983,0.2871,0.1756,0.1791
btn.bnc,2790,2084,612,2762,0.2652,0.2476,0.3458,0.2194,0.2244
bnc.bnc,2790,2084,360,2741,0.1415,0.1197,0.1979,0.1290,0.1366
atc.bnc,2790,2084,468,2759,0.1921,0.1745,0.2734,0.1677,0.1711
atn.bnc,2790,2084,655,2751,0.2951,0.2789,0.3698,0.2348,0.2405
anc.bnc,2790,2084,342,2743,0.1273,0.1076,0.1916,0.1226,0.1280
ann.bnc,2790,2084,508,2736,0.2178,0.1917,0.2817,0.1821,0.1884
nnn.atc,2790,2084,359,2750,0.1517,0.1319,0.2219,0.1287,0.1396
nnc.atc,2790,2084,487,2748,0.2172,0.1978,0.2859,0.1746,0.1805
ntc.atc,2790,2084,518,2761,0.2334,0.2178,0.3082,0.1857,0.1961
ntn.atc,2790,2084,487,2732,0.2060,0.1884,0.3071,0.1746,0.1863
lnn.atc,2790,2084,553,2756,0.2406,0.2172,0.3229,0.1982,0.2036
ltn.atc,2790,2084,582,2735,0.2595,0.2367,0.3505,0.2086,0.2206
ltc.atc,2790,2084,510,2762,0.2192,0.2052,0.3014,0.1828,0.1878
lnc.atc,2790,2084,546,2746,0.2381,0.2252,0.3196,0.1957,0.2019
bnn.atc,2790,2084,612,2762,0.2652,0.2472,0.3457,0.2194,0.2244
btc.atc,2790,2084,503,2762,0.2129,0.2002,0.3012,0.1803,0.1853
btn.atc,2790,2084,607,2746,0.2651,0.2435,0.3602,0.2176,0.2238
bnc.atc,2790,2084,551,2747,0.2395,0.2265,0.3183,0.1975,0.2036
atc.atc,2790,2084,478,2763,0.1962,0.1826,0.2901,0.1713,0.1746
atn.atc,2790,2084,596,2760,0.2751,0.2649,0.3505,0.2136,0.2188
anc.atc,2790,2084,539,2748,0.2225,0.2075,0.3159,0.1932,0.1975
ann.atc,2790,2084,654,2751,0.2955,0.2793,0.3695,0.2344,0.2401
nnn.atn,2790,2084,359,2750,0.1517,0.1319,0.2219,0.1287,0.1396
nnc.atn,2790,2084,487,2748,0.2172,0.1978,0.2859,0.1746,0.1805
ntc.atn,2790,2084,518,2761,0.2334,0.2178,0.3082,0.1857,0.1961
ntn.atn,2790,2084,487,2732,0.2060,0.1884,0.3071,0.1746,0.1863
lnn.atn,2790,2084,553,2756,0.2406,0.2172,0.3229,0.1982,0.2036
ltn.atn,2790,2084,582,2735,0.2595,0.2367,0.3505,0.2086,0.2206
ltc.atn,2790,2084,510,2762,0.2192,0.2052,0.3014,0.1828,0.1878
lnc.atn,2790,2084,546,2746,0.2381,0.2252,0.3196,0.1957,0.2019
bnn.atn,2790,2084,612,2762,0.2652,0.2472,0.3457,0.2194,0.2244
btc.atn,2790,2084,503,2762,0.2129,0.2002,0.3012,0.1803,0.1853
btn.atn,2790,2084,607,2746,0.2651,0.2435,0.3602,0.2176,0.2238
bnc.atn,2790,2084,551,2747,0.2395,0.2265,0.3183,0.1975,0.2036
atc.atn,2790,2084,478,2763,0.1962,0.1826,0.2901,0.1713,0.1746
atn.atn,2790,2084,596,2760,0.2751,0.2649,0.3505,0.2136,0.2188
anc.atn,2790,2084,539,2748,0.2225,0.2075,0.3159,0.1932,0.1975
ann.atn,2790,2084,654,2751,0.2955,0.2793,0.3695,0.2344,0.2401
nnn.anc,2790,2084,128,2790,0.0394,0.0324,0.0528,0.0459,0.0459
